Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
Armenian,Indo-European,head,գլուխ,3,0 ,"Chief,Leader",Head,Top,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,hear_listen,լսել,3,0 ,Hear,Listen,Understand,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,heart,սիրտ,3,0 ,Courage,Heart,The Central Organ Of Circulation,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,hot,ջերմ,3,0 ,Hot,Serene,Warm,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,human,մարդկային,1,0 ,Human,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,I,Ես,1,0 ,I,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,long,երկայն,1,0 ,Long,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,man,մարդ,4,0 ,Man,"People,Person",Race,Soul,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,many,շատ,3,0 ,Lots Of,Many,"Several,Somg",,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,moon,լուսին,1,0 ,Moon,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,mouth,բերան,1,0 ,Mouth,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,new,թարմ,5,0 ,Fresh,Green,New,"Recent,Up-To-Date",Tender,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,night,գիշեր,3,0 ,Darkness,Night,Nighttime,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,not,չէ,2,0 ,No,Not,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,old,ծեր,3,0 ,Aged,Old,Old People,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,one,մէկ,4,0 ,"A,An",Any,One,Some,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,person,անձ,1,0 ,Person,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,rain,անձրեւ,1,0 ,Rain,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,round,կլոր,1,0 ,Round,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,say,ըսել,3,0 ,Say,"Talk,Speak",Tell,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,see_look,տեսնալ,5,0 ,Behold,Look,See,Think,View,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,sky,երկինք,2,0 ,"Paradise,Heaven",Sky,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,sleep,քուն,4,0 ,Nap,Rest,Sleep,Slumber,,,,,,,,,,,,,,,,,,,,,
